country,total_cases,total_deaths,total_recovered,total_tests,cases/1m,deaths/1m,tests/1m
Algeria,4838.0,470.0,2067.0,6500.0,110.0,11.0,148.0
Moldova,4363.0,136.0,1544.0,20447.0,1082.0,34.0,5069.0
Kazakhstan,4298.0,29.0,1299.0,336480.0,229.0,2.0,17920.0
Luxembourg,3840.0,96.0,3412.0,49299.0,6134.0,153.0,78755.0
Bahrain,3720.0,8.0,1762.0,155501.0,2186.0,5.0,91387.0
Afghanistan,3392.0,104.0,458.0,13777.0,87.0,3.0,354.0
Hungary,3111.0,373.0,759.0,86743.0,322.0,39.0,8979.0
Thailand,2989.0,55.0,2761.0,227860.0,43.0,0.8,3264.0
Nigeria,2950.0,98.0,481.0,19512.0,14.0,0.5,95.0
Oman,2903.0,13.0,888.0,40459.0,568.0,3.0,7923.0
Armenia,2782.0,40.0,1135.0,26929.0,939.0,13.0,9088.0
Ghana,2719.0,18.0,294.0,129461.0,88.0,0.6,4166.0
Greece,2642.0,146.0,1374.0,83750.0,253.0,14.0,8035.0
Iraq,2431.0,102.0,1571.0,113484.0,60.0,3.0,2821.0
Uzbekistan,2217.0,10.0,1556.0,325000.0,66.0,0.3,9710.0
Croatia,2112.0,83.0,1560.0,39973.0,514.0,20.0,9737.0
Cameroon,2104.0,64.0,953.0,,79.0,2.0,
Azerbaijan,2060.0,26.0,1508.0,164481.0,203.0,3.0,16222.0
Bosnia and Herzegovina,1946.0,79.0,911.0,35296.0,593.0,24.0,10758.0
Guinea,1811.0,10.0,498.0,,138.0,0.8,
Bolivia,1802.0,86.0,187.0,7651.0,154.0,7.0,655.0
Iceland,1799.0,10.0,1733.0,51345.0,5272.0,29.0,150465.0
Bulgaria,1758.0,82.0,360.0,51768.0,253.0,12.0,7450.0
Estonia,1713.0,55.0,264.0,58955.0,1291.0,41.0,44443.0
Cuba,1685.0,69.0,954.0,57711.0,149.0,6.0,5095.0
North Macedonia,1526.0,86.0,1013.0,17359.0,732.0,41.0,8332.0
New Zealand,1488.0,21.0,1316.0,160700.0,309.0,4.0,33325.0
Ivory Coast,1464.0,18.0,701.0,11448.0,56.0,0.7,434.0
Slovenia,1448.0,99.0,246.0,58923.0,697.0,48.0,28343.0
Slovakia,1429.0,25.0,762.0,104606.0,262.0,5.0,19160.0
Lithuania,1428.0,48.0,718.0,156493.0,525.0,18.0,57486.0
Senegal,1329.0,11.0,470.0,17787.0,79.0,0.7,1062.0
Honduras,1270.0,93.0,122.0,5653.0,128.0,9.0,571.0
Djibouti,1120.0,2.0,745.0,14378.0,1134.0,2.0,14553.0
Hong Kong,1041.0,4.0,932.0,154989.0,139.0,0.5,20674.0
Tunisia,1022.0,43.0,482.0,25165.0,86.0,4.0,2129.0
Latvia,900.0,17.0,464.0,68627.0,477.0,9.0,36384.0
Cyprus,878.0,15.0,296.0,66975.0,727.0,12.0,55472.0
Kyrgyzstan,871.0,12.0,614.0,59490.0,134.0,2.0,9118.0
Somalia,835.0,38.0,75.0,,53.0,2.0,
Albania,832.0,31.0,595.0,9531.0,289.0,11.0,3312.0
DRC,797.0,35.0,92.0,,9.0,0.4,
Sudan,778.0,45.0,70.0,,18.0,1.0,
Sri Lanka,771.0,9.0,215.0,29378.0,36.0,0.4,1372.0
Niger,763.0,38.0,543.0,5375.0,32.0,2.0,222.0
Guatemala,763.0,19.0,79.0,7200.0,43.0,1.0,402.0
Costa Rica,755.0,6.0,413.0,14121.0,148.0,1.0,2772.0
Andorra,751.0,46.0,514.0,1673.0,9720.0,595.0,21653.0
Lebanon,750.0,25.0,206.0,44701.0,110.0,4.0,6549.0
Mayotte,739.0,9.0,352.0,3400.0,2709.0,33.0,12463.0
Diamond Princess,712.0,13.0,645.0,,,,
Burkina Faso,688.0,48.0,548.0,,33.0,2.0,
Uruguay,670.0,17.0,468.0,23811.0,193.0,5.0,6855.0
El Salvador,633.0,14.0,219.0,33628.0,98.0,2.0,5185.0
Mali,612.0,32.0,228.0,2172.0,30.0,2.0,107.0
Georgia,610.0,9.0,269.0,20579.0,153.0,2.0,5159.0
San Marino,589.0,41.0,92.0,2538.0,17359.0,1208.0,74799.0
Maldives,573.0,2.0,20.0,9863.0,1060.0,4.0,18246.0
Channel Islands,545.0,40.0,406.0,5342.0,3135.0,230.0,30725.0
Kenya,535.0,24.0,182.0,25861.0,10.0,0.4,481.0
Malta,482.0,5.0,403.0,36945.0,1092.0,11.0,83672.0
Tanzania,480.0,16.0,167.0,,8.0,0.3,
Guinea-Bissau,475.0,2.0,24.0,1500.0,241.0,1.0,762.0
Jamaica,473.0,9.0,56.0,5993.0,160.0,3.0,2024.0
Jordan,471.0,9.0,375.0,91666.0,46.0,0.9,8984.0
Taiwan,439.0,6.0,339.0,65589.0,18.0,0.3,2754.0
Paraguay,431.0,10.0,135.0,11913.0,60.0,1.0,1670.0
Réunion,425.0,,300.0,17200.0,475.0,,19211.0
Gabon,397.0,6.0,93.0,724.0,178.0,3.0,325.0
Palestine,371.0,2.0,127.0,32200.0,73.0,0.4,6312.0
Venezuela,367.0,10.0,164.0,490851.0,13.0,0.4,17262.0
Mauritius,332.0,10.0,319.0,18959.0,261.0,8.0,14908.0
Isle of Man,326.0,23.0,271.0,3459.0,3834.0,270.0,40678.0
Montenegro,324.0,8.0,261.0,7816.0,516.0,13.0,12445.0
Equatorial Guinea,315.0,3.0,13.0,854.0,225.0,2.0,609.0
Tajikistan,293.0,5.0,,,31.0,0.5,
Vietnam,271.0,,232.0,261004.0,3.0,,2681.0
Rwanda,261.0,,129.0,35992.0,20.0,,2779.0
Congo,236.0,10.0,26.0,,43.0,2.0,
Sierra Leone,199.0,11.0,43.0,,25.0,1.0,
Faeroe Islands,187.0,,185.0,8241.0,3827.0,,168655.0
Cabo Verde,186.0,2.0,37.0,791.0,335.0,4.0,1423.0
Martinique,182.0,14.0,83.0,,485.0,37.0,
Sao Tome and Principe,174.0,3.0,4.0,175.0,794.0,14.0,799.0
Liberia,170.0,20.0,58.0,,34.0,4.0,
Chad,170.0,17.0,43.0,,10.0,1.0,
Ethiopia,162.0,4.0,93.0,26517.0,1.0,0.03,231.0
Myanmar,161.0,6.0,49.0,9037.0,3.0,0.1,166.0
Guadeloupe,152.0,13.0,104.0,,380.0,32.0,
Madagascar,151.0,,101.0,3861.0,5.0,,139.0
Gibraltar,144.0,,133.0,2931.0,4274.0,,86997.0
Zambia,139.0,4.0,92.0,7277.0,8.0,0.2,396.0
Brunei,139.0,1.0,131.0,14754.0,318.0,2.0,33725.0
French Guiana,138.0,1.0,111.0,,462.0,3.0,
Togo,128.0,9.0,74.0,7896.0,15.0,1.0,954.0
Cambodia,122.0,,120.0,12611.0,7.0,,754.0
Eswatini,119.0,1.0,12.0,714.0,103.0,0.9,615.0
Trinidad and Tobago,116.0,8.0,103.0,2080.0,83.0,6.0,1486.0
Bermuda,115.0,7.0,54.0,3374.0,1847.0,112.0,54176.0
Haiti,101.0,12.0,10.0,1037.0,9.0,1.0,91.0
Aruba,101.0,2.0,82.0,1780.0,946.0,19.0,16672.0
Nepal,99.0,,22.0,64492.0,3.0,,2213.0
Uganda,98.0,,55.0,44110.0,2.0,,964.0
Benin,96.0,2.0,50.0,,8.0,0.2,
Monaco,95.0,4.0,81.0,,2421.0,102.0,
Guyana,93.0,10.0,27.0,680.0,118.0,13.0,865.0
Bahamas,89.0,11.0,26.0,1485.0,226.0,28.0,3776.0
CAR,85.0,,10.0,3498.0,18.0,,724.0
Barbados,82.0,7.0,47.0,2549.0,285.0,24.0,8870.0
Liechtenstein,82.0,1.0,55.0,900.0,2151.0,26.0,23605.0
Mozambique,81.0,,19.0,2867.0,3.0,,92.0
Cayman Islands,78.0,1.0,30.0,2752.0,1187.0,15.0,41873.0
Sint Maarten,76.0,14.0,44.0,329.0,1773.0,327.0,7673.0
Libya,63.0,3.0,24.0,2338.0,9.0,0.4,340.0
French Polynesia,60.0,,54.0,2697.0,214.0,,9601.0
South Sudan,52.0,,,1247.0,5.0,,111.0
Macao,45.0,,39.0,,69.0,,
Syria,44.0,3.0,27.0,,3.0,0.2,
Malawi,41.0,3.0,9.0,907.0,2.0,0.2,47.0
Mongolia,41.0,,13.0,8946.0,13.0,,2729.0
Eritrea,39.0,,30.0,,11.0,,
Saint Martin,38.0,3.0,29.0,,983.0,78.0,
Angola,36.0,2.0,11.0,3000.0,1.0,0.06,91.0
Zimbabwe,34.0,4.0,5.0,7642.0,2.0,0.3,514.0
Antigua and Barbuda,25.0,3.0,16.0,153.0,255.0,31.0,1562.0
Timor-Leste,24.0,,20.0,664.0,18.0,,504.0
Botswana,23.0,1.0,8.0,8636.0,10.0,0.4,3672.0
Yemen,22.0,4.0,1.0,120.0,0.7,0.1,4.0
Grenada,21.0,,13.0,1406.0,187.0,,12495.0
Laos,19.0,,9.0,2505.0,3.0,,344.0
Belize,18.0,2.0,16.0,1043.0,45.0,5.0,2623.0
Fiji,18.0,,14.0,1300.0,20.0,,1450.0
New Caledonia,18.0,,17.0,5052.0,63.0,,17695.0
Saint Lucia,18.0,,15.0,446.0,98.0,,2429.0
Gambia,17.0,1.0,9.0,562.0,7.0,0.4,233.0
St. Vincent Grenadines,17.0,,9.0,137.0,153.0,,1235.0
Nicaragua,16.0,5.0,7.0,,2.0,0.8,
Curaçao,16.0,1.0,13.0,374.0,98.0,6.0,2279.0
Dominica,16.0,,14.0,416.0,222.0,,5779.0
Namibia,16.0,,8.0,1122.0,6.0,,442.0
Burundi,15.0,1.0,7.0,284.0,1.0,0.08,24.0
Saint Kitts and Nevis,15.0,,12.0,318.0,282.0,,5978.0
Falkland Islands,13.0,,13.0,388.0,3736.0,,111494.0
Turks and Caicos,12.0,1.0,6.0,107.0,310.0,26.0,2764.0
Montserrat,11.0,1.0,7.0,36.0,2204.0,200.0,7212.0
Greenland,11.0,,11.0,1332.0,194.0,,23463.0
Vatican City,11.0,,2.0,,13733.0,,
Seychelles,11.0,,8.0,,112.0,,
Suriname,10.0,1.0,9.0,404.0,17.0,2.0,689.0
MS Zaandam,9.0,2.0,,,,,
Mauritania,8.0,1.0,6.0,1032.0,2.0,0.2,222.0
Papua New Guinea,8.0,,8.0,2402.0,0.9,,268.0
Bhutan,7.0,,5.0,11373.0,9.0,,14739.0
British Virgin Islands,6.0,1.0,3.0,,198.0,33.0,
Caribbean Netherlands,6.0,,,110.0,229.0,,4195.0
St. Barth,6.0,,6.0,,607.0,,
Western Sahara,6.0,,5.0,,10.0,,
Anguilla,3.0,,3.0,,200.0,,
Comoros,3.0,,,,3.0,,
Saint Pierre Miquelon,1.0,,,,173.0,,
